iter	Logloss
0	0.6065199002
1	0.5378107766
2	0.4912787557
3	0.4566731773
4	0.4267512183
5	0.4083878063
6	0.3914375135
7	0.3791448903
8	0.36884523
9	0.362235402
10	0.3556922425
11	0.3499495125
12	0.3446445854
13	0.3398568143
14	0.3362618855
15	0.3338862821
16	0.3316375096
17	0.3293847071
18	0.3274535857
19	0.3252919839
20	0.3237220224
21	0.3216765357
22	0.3202980947
23	0.3193241387
24	0.3181308284
25	0.3174801116
26	0.3165081732
27	0.3150911114
28	0.313662064
29	0.3129207002
30	0.312179452
31	0.3111485234
32	0.3099476663
33	0.3089585306
34	0.3080471007
35	0.3070719425
36	0.3067503151
37	0.3063783126
38	0.3059666408
39	0.3046384444
40	0.3041086021
41	0.3025844307
42	0.3013419008
43	0.3008137684
44	0.3002643675
45	0.2998198602
46	0.2992293215
47	0.298638833
48	0.2983162842
49	0.2980925269
50	0.2978581347
51	0.2975568062
52	0.2973433182
53	0.2970697568
54	0.2968217512
55	0.296556334
56	0.2963412637
57	0.295640006
58	0.2953387913
59	0.2947759627
60	0.2944975521
61	0.2941235819
62	0.2940289068
63	0.2938379728
64	0.2937655704
65	0.2935891317
66	0.2934204983
67	0.2932151416
68	0.2931253385
69	0.2928879207
70	0.2924336584
71	0.2922273315
72	0.2920712615
73	0.2917717789
74	0.2916523318
75	0.291405805
76	0.2909685254
77	0.2908786836
78	0.29039449
79	0.2900533884
80	0.2897153152
81	0.2895948516
82	0.2893896251
83	0.2892235701
84	0.2885665126
85	0.2882737293
86	0.2881457405
87	0.2879581995
88	0.2877925312
89	0.2876533472
90	0.2874778113
91	0.2872319435
92	0.2870018138
93	0.2869589006
94	0.2865269423
95	0.2864506932
96	0.2861754353
97	0.2861133647
98	0.2859132747
99	0.2857751993
100	0.2853911447
101	0.285307001
102	0.2851701783
103	0.2849398418
104	0.2848388932
105	0.2847397801
106	0.2844262202
107	0.2842994735
108	0.2834177722
109	0.2831252047
110	0.282688344
111	0.282574528
112	0.2824693578
113	0.282302455
114	0.2816823297
115	0.2815583356
116	0.2809938167
117	0.2804275057
118	0.2802728609
119	0.2801067386
120	0.2799862097
121	0.2797704652
122	0.2797227318
123	0.2791766092
124	0.2789154632
125	0.2787710949
126	0.2787032847
127	0.2786299338
128	0.278114575
129	0.277878731
130	0.2775003488
131	0.2773698261
132	0.2772873678
133	0.2772107073
134	0.2770528337
135	0.2768787106
136	0.2767787614
137	0.2767448034
138	0.2766088027
139	0.2765628031
140	0.2765114844
141	0.2764519702
142	0.2764388341
143	0.2763020003
144	0.2761945383
145	0.2761296038
146	0.2757885794
147	0.2756969238
148	0.2755981519
149	0.2755274614
150	0.2754693981
151	0.2753547823
152	0.2752192933
153	0.2751454127
154	0.2749674024
155	0.2749206166
156	0.2747788489
157	0.2747286888
158	0.2747171547
159	0.2746909518
160	0.2746222802
161	0.2745707947
162	0.2744910397
163	0.2744290192
164	0.2744194671
165	0.274340095
166	0.2743181923
167	0.2742149536
168	0.2741490407
169	0.2741103042
170	0.273671022
171	0.2735901362
172	0.2734641082
173	0.2733313156
174	0.2732699206
175	0.2730598129
176	0.2730164699
177	0.2729626718
178	0.272898575
179	0.2728047798
180	0.2725737402
181	0.2725238384
182	0.2725109699
183	0.2723796083
184	0.2722412897
185	0.2720817523
186	0.2720191574
187	0.2718828448
188	0.2717948883
189	0.2716855202
190	0.2716224622
191	0.2715228668
192	0.2712782963
193	0.2711814775
194	0.2711445942
195	0.2711399011
196	0.2710929155
197	0.2710027126
198	0.2709516382
199	0.2708927097
200	0.2708559529
201	0.2708191846
202	0.2707784822
203	0.2707417292
204	0.2706666752
205	0.2706185456
206	0.2705174548
207	0.2703882327
208	0.2703399434
209	0.2702635099
210	0.2701684786
211	0.2700489783
212	0.2700485131
213	0.2699548253
214	0.2698513435
215	0.269747152
216	0.2696846595
217	0.2693953567
218	0.2693507977
219	0.2692487696
220	0.2692013996
221	0.2691231229
222	0.2690571312
223	0.2690145233
224	0.2689838647
225	0.2689574033
226	0.2689110125
227	0.2687758417
228	0.2686608187
229	0.2685840437
230	0.2685521121
231	0.2684830287
232	0.2683776501
233	0.268362408
234	0.2682743724
235	0.2681883571
236	0.2681175207
237	0.2680788839
238	0.2680273539
239	0.2679195733
240	0.2679027938
241	0.2678589789
242	0.2678112669
243	0.2677779802
244	0.2677443203
245	0.2674354551
246	0.2674094969
247	0.267323724
248	0.267306198
249	0.2673001959
250	0.2671923601
251	0.2670459985
252	0.2669896908
253	0.2669101372
254	0.2668813824
255	0.2667574586
256	0.2667225317
257	0.2665846263
258	0.2665015615
259	0.2664810495
260	0.2664477628
261	0.2664324517
262	0.2663687702
263	0.2663415623
264	0.2663269243
265	0.2661953698
266	0.2661697498
267	0.2661518359
268	0.2661303204
269	0.2660642388
270	0.2660273816
271	0.2659100579
272	0.2658667056
273	0.2657772767
274	0.2657596068
275	0.2657446383
276	0.2656700843
277	0.2656451187
278	0.2656331987
279	0.2655734233
280	0.2655111437
281	0.2654804618
282	0.2652114845
283	0.2651550105
284	0.2650814057
285	0.2650101437
286	0.2649773471
287	0.2648589518
288	0.2648383078
289	0.2647879941
290	0.2647304112
291	0.2646467946
292	0.2646408369
293	0.2646229458
294	0.2645936603
295	0.2645549349
296	0.2644769135
297	0.2644577455
298	0.2643641583
299	0.2642758751
300	0.2642047947
301	0.2641860433
302	0.2641571581
303	0.2641192363
304	0.2640866091
305	0.2640494552
306	0.2640343045
307	0.2639625114
308	0.2639257632
309	0.2638889386
310	0.2638716161
311	0.2638560936
312	0.2638095927
