iter	Passed	Remaining
0	274	136778
1	336	83809
2	384	63668
3	433	53791
4	484	47989
5	557	45916
6	595	41940
7	641	39465
8	675	36875
9	711	34887
10	747	33250
11	782	31811
12	816	30570
13	853	29638
14	896	28974
15	940	28450
16	981	27879
17	1020	27325
18	1057	26771
19	1101	26435
20	1139	26002
21	1178	25599
22	1216	25239
23	1250	24811
24	1284	24408
25	1322	24104
26	1358	23790
27	1392	23471
28	1433	23288
29	1469	23019
30	1507	22802
31	1544	22595
32	1579	22346
33	1614	22134
34	1651	21941
35	1686	21740
36	1719	21520
37	1751	21296
38	1786	21119
39	1825	20991
40	1876	21004
41	1910	20832
42	1945	20677
43	1977	20490
44	2010	20326
45	2044	20182
46	2083	20077
47	2114	19907
48	2145	19750
49	2177	19593
50	2208	19440
51	2242	19318
52	2277	19207
53	2318	19147
54	2363	19120
55	2396	19001
56	2429	18883
57	2467	18801
58	2502	18705
59	2538	18615
60	2570	18501
61	2604	18397
62	2631	18252
63	2666	18167
64	2701	18080
65	2735	17985
66	2769	17900
67	2803	17810
68	2833	17700
69	2868	17620
70	2906	17564
71	2939	17476
72	2973	17393
73	3011	17334
74	3045	17260
75	3079	17181
76	3113	17104
77	3145	17018
78	3180	16949
79	3213	16872
80	3247	16796
81	3280	16723
82	3311	16639
83	3343	16555
84	3378	16493
85	3411	16424
86	3442	16342
87	3475	16269
88	3511	16217
89	3546	16154
90	3580	16094
91	3615	16035
92	3651	15981
93	3684	15912
94	3717	15849
95	3762	15835
96	3815	15851
97	3849	15791
98	3897	15786
99	3930	15720
100	3961	15648
101	3991	15575
102	4025	15514
103	4064	15475
104	4103	15437
105	4136	15374
106	4167	15306
107	4203	15255
108	4237	15200
109	4274	15155
110	4310	15104
111	4344	15049
112	4382	15007
113	4414	14947
114	4455	14917
115	4489	14862
116	4528	14825
117	4567	14787
118	4600	14729
119	4634	14676
120	4668	14622
121	4701	14566
122	4734	14510
123	4771	14469
124	4805	14417
125	4840	14366
