iter	Passed	Remaining
0	197	59127
1	253	37772
2	303	30000
3	352	26088
4	402	23755
5	453	22244
6	504	21137
7	550	20107
8	601	19452
9	656	19044
10	718	18877
11	772	18538
12	820	18120
13	875	17875
14	924	17567
15	979	17380
16	1027	17108
17	1078	16889
18	1112	16451
19	1160	16241
20	1211	16091
21	1264	15983
22	1321	15917
23	1383	15908
24	1439	15832
25	1492	15730
26	1545	15623
27	1596	15505
28	1646	15387
29	1702	15320
30	1755	15231
31	1808	15150
32	1857	15032
33	1906	14918
34	1956	14813
35	2008	14727
36	2061	14656
37	2114	14579
38	2191	14664
39	2251	14637
40	2304	14557
41	2363	14518
42	2421	14470
43	2479	14423
44	2532	14351
45	2589	14297
46	2644	14235
47	2704	14196
48	2775	14216
49	2831	14159
50	2890	14113
51	2943	14036
52	2997	13971
53	3050	13894
54	3102	13820
55	3161	13774
56	3216	13711
57	3276	13669
58	3337	13634
59	3392	13569
60	3450	13517
61	3502	13444
62	3560	13393
63	3616	13335
64	3682	13314
65	3746	13282
66	3802	13224
67	3863	13180
68	3921	13129
69	3980	13078
70	4036	13018
71	4092	12958
72	4144	12887
73	4203	12836
74	4258	12775
75	4318	12727
76	4370	12658
77	4425	12596
78	4482	12540
79	4539	12483
80	4598	12434
81	4656	12379
82	4710	12314
83	4765	12254
84	4816	12184
85	4878	12138
86	4932	12075
87	4990	12023
88	5058	11992
89	5116	11938
90	5175	11886
91	5232	11829
92	5288	11771
93	5351	11728
94	5413	11682
95	5474	11633
96	5534	11581
97	5595	11533
98	5657	11487
99	5719	11439
100	5784	11397
101	5840	11337
102	5904	11293
103	5972	11254
104	6041	11219
105	6102	11168
106	6166	11122
107	6236	11086
108	6300	11041
109	6364	10994
110	6435	10958
111	6502	10915
112	6564	10863
113	6632	10821
114	6699	10777
115	6764	10730
116	6832	10687
117	6903	10647
118	6975	10610
119	7046	10569
120	7111	10520
121	7182	10478
122	7249	10431
123	7314	10382
124	7382	10335
125	7454	10294
126	7522	10246
127	7587	10195
128	7656	10148
129	7723	10099
130	7797	10059
131	7866	10012
132	7936	9965
133	8006	9918
134	8069	9862
135	8136	9811
136	8200	9757
137	8271	9709
138	8337	9656
139	8405	9606
140	8473	9555
141	8546	9508
142	8614	9457
143	8679	9403
144	8744	9348
145	8815	9298
146	8885	9248
147	8954	9196
148	9017	9138
149	9091	9091
150	9163	9042
151	9233	8990
152	9304	8939
153	9372	8885
154	9437	8828
155	9507	8775
156	9577	8723
157	9643	8666
158	9714	8614
159	9784	8561
160	9850	8504
161	9924	8453
162	9994	8400
163	10068	8349
164	10138	8295
165	10205	8238
166	10275	8183
167	10349	8131
168	10420	8077
169	10489	8021
170	10562	7967
171	10636	7915
172	10705	7858
173	10779	7805
174	10845	7746
175	10914	7689
176	10987	7635
177	11063	7583
178	11138	7529
179	11211	7474
180	11285	7419
181	11353	7360
182	11429	7307
183	11501	7250
184	11573	7194
185	11643	7136
186	11718	7081
187	11793	7025
188	11864	6967
189	11942	6914
190	12021	6860
191	12093	6802
192	12164	6744
193	12233	6684
194	12305	6626
195	12379	6568
196	12459	6514
197	12531	6455
198	12608	6399
199	12685	6342
200	12756	6283
201	12827	6223
202	12903	6165
203	12972	6104
204	13045	6045
205	13118	5986
206	13192	5926
207	13270	5869
208	13348	5812
209	13425	5753
210	13498	5693
211	13575	5635
212	13649	5575
213	13727	5516
214	13804	5457
215	13886	5400
216	13964	5341
217	14052	5285
218	14127	5225
219	14206	5165
220	14277	5103
221	14356	5044
222	14439	4985
223	14520	4926
224	14602	4867
225	14683	4807
226	14758	4746
227	14840	4686
228	14918	4625
229	14998	4564
230	15066	4500
231	15138	4437
232	15218	4376
233	15297	4314
234	15376	4252
235	15452	4190
236	15528	4127
237	15600	4064
238	15675	4000
239	15748	3937
240	15823	3873
241	15899	3810
242	15975	3747
243	16048	3683
244	16127	3620
245	16203	3556
246	16281	3493
247	16356	3429
248	16427	3364
249	16507	3301
250	16581	3237
251	16657	3172
252	16732	3108
253	16812	3044
254	16881	2979
255	16953	2913
256	17026	2848
257	17097	2783
258	17172	2718
259	17247	2653
260	17326	2588
261	17406	2524
262	17483	2459
263	17568	2395
264	17649	2331
265	17726	2265
266	17801	2200
267	17879	2134
268	17955	2069
269	18030	2003
270	18106	1937
271	18180	1871
272	18262	1806
273	18343	1740
274	18425	1675
275	18503	1608
276	18585	1543
277	18667	1477
278	18746	1411
279	18830	1345
280	18905	1278
281	18983	1211
282	19056	1144
283	19131	1077
284	19206	1010
285	19283	943
286	19359	876
287	19436	809
288	19516	742
289	19599	675
290	19683	608
291	19773	541
292	19857	474
293	19933	406
294	20007	339
295	20086	271
296	20160	203
297	20238	135
298	20314	67
299	20386	0
